id,content,teacher_id,student_id,question_id,created_at,updated_at,which,image
5,ここのcanは可能性です。つまり丁寧に訳すと「友人はとても重要であるかもしれない」となります。,1,9,6,2020-09-12 08:40:20 +0900,2020-09-12 08:40:20 +0900,teacher,
6,ありがとうございました,1,9,6,2020-09-12 08:47:24 +0900,2020-09-12 08:47:24 +0900,student,
7,同時に出てくることはまずほぼありません。安心してください笑　しかし、どちらも難関校の問題では出てくることがあるので覚えておきましょう。,1,9,8,2020-09-15 22:23:48 +0900,2020-09-15 22:23:48 +0900,teacher,
8,n回後に両方が裏となっている確率をa(n)、n回後に両方が表となっている確率をb(n)、n回後に1枚が表でもう１枚が裏となってる確率をc(n)としましょう。,1,10,9,2020-09-16 00:03:36 +0900,2020-09-16 00:03:36 +0900,teacher,
9,上記のように仮定した時、n-1回目からn回目への推移を考察してみます。(マルコフ過程と呼ばれています),1,10,9,2020-09-16 00:05:13 +0900,2020-09-16 00:05:13 +0900,teacher,
10,"その時、例えばa(n)、c(n)に関しては
a(n)=1/4*a(n-1)+1/4*b(n-1)+1/2*c(n-1)
c(n)=2/4*a(n-1)+2/4*b(n-1)+1/2*c(n-1)
となります。（*は掛け算ね）",1,10,9,2020-09-16 00:11:45 +0900,2020-09-16 00:11:45 +0900,teacher,
11,"他の条件も考えてあげるとa(n)が求まります。
この問題は確率漸化式と呼ばれ一橋、東大が大好きな問題です（最近は見ていませんが）。考えても分からなかったら来週の授業で続きは説明します。",1,10,9,2020-09-16 00:14:47 +0900,2020-09-16 00:14:47 +0900,teacher,
12,ありがとうございます、出てきたら議会として訳せるように暗記します,1,9,8,2020-09-16 17:04:00 +0900,2020-09-16 17:04:00 +0900,student,
13,ターゲットのA評価がどの程度の頻出率かは分かりませんが、arctic自体非常に稀にしか見ない単語です。そのため覚えなくて大丈夫です。テストにも出しません。,1,9,10,2020-09-17 22:47:04 +0900,2020-09-17 22:47:04 +0900,teacher,
14,回答ありがとうございます、,1,9,10,2020-09-18 19:19:44 +0900,2020-09-18 19:19:44 +0900,student,
15,例文を使用して出題する予定です！,1,9,11,2020-09-27 11:38:04 +0900,2020-09-27 11:38:04 +0900,teacher,
16,ありがとうございます、満点目指して頑張ります,1,9,11,2020-09-27 19:53:05 +0900,2020-09-27 19:53:05 +0900,student,
17,全部正解です。慶應の(3)は、kの不等式を解く問題ですよね。1000＊(8/9)^50 の値をどう処理するかが鍵ですね。手計算で解けるわけもないので常用対数をとってみては、、？,1,10,13,2020-09-29 12:04:10 +0900,2020-09-29 12:04:10 +0900,teacher,
18,"まず(1)について説明します。
解答にも書いてある通り0<p<3であるので5行目の式において
pと3-pは絶対に0にはなり得ないよね
なので5行目の式、両辺でpと3-pで割ります。
そしてうまくまとめれば7行目のしきになります。",1,10,14,2020-09-30 12:38:37 +0900,2020-09-30 12:38:37 +0900,teacher,
19,次に(4)について説明します。この問題は難しくないですよ。解答にも書いてある通り、(求める面積)=(円を直線ABで切った下半分の面積)-(直線ABと放物線で囲まれた面積)となります。うまく円の公式と積分を使えばそれぞれ求めることができます。,1,10,16,2020-09-30 12:46:58 +0900,2020-09-30 12:46:58 +0900,teacher,
20,この大問4に関しては、難易度的にも分野的にも早慶上智で出題されてもおかしくないです。よく復習しておきましょう。分からない点が未だあればどうぞ。,1,10,16,2020-09-30 12:49:20 +0900,2020-09-30 12:49:20 +0900,teacher,
21,画像テスト,1,1,7,2020-10-04 20:01:59 +0900,2020-10-04 20:01:59 +0900,student,20201004110159.jpg
22,画像機能確認,1,1,7,2020-10-04 20:03:38 +0900,2020-10-04 20:03:38 +0900,teacher,20201004110338.jpg
23,上智に関してはニが違います。おそらく計算ミスなので確認しておいて下さい。慶應は全問正解です！素晴らしい。一対一に関しては明日説明しますね。,1,10,18,2020-10-04 23:31:21 +0900,2020-10-04 23:31:21 +0900,teacher,
24,2014年 1(2)と2015年(2)(ⅱ)のxの範囲が間違っています。(3)はうまく式を変形すれば(1)を利用できることに気づくはずです。,1,10,19,2020-10-11 10:01:28 +0900,2020-10-11 10:01:28 +0900,teacher,
25,完璧です!,1,10,20,2020-10-11 23:09:18 +0900,2020-10-11 23:09:18 +0900,teacher,
26,報告ありがとう！どうやらtargetの方が変な意味？が登録されてしまってるみたいです。もしよかったらシステム英単語の方も合わせて使ってくれると嬉しいです。,1,9,22,2020-10-18 19:29:58 +0900,2020-10-18 19:29:58 +0900,teacher,
27,"ちなみにeven,chargeどちらもそのような意味ありますが結構マニアックなので単語帳に書いてある方を優先させて下さい！",1,9,22,2020-10-18 20:29:19 +0900,2020-10-18 20:29:19 +0900,teacher,
28,ありがとう！こちらで直しておきます！,1,9,28,2020-10-23 14:17:34 +0900,2020-10-23 14:17:34 +0900,teacher,
29,数学めちゃめっちゃいいじゃないですか。判定も分かったら教えて下さい！,1,10,30,2020-10-25 12:11:13 +0900,2020-10-25 12:11:13 +0900,teacher,
30,ここのdecideは動詞です。つまりothersが主語になります。訳は「他の人たちは〜と決めた」となるのではないでしょうか。,1,11,29,2020-10-25 12:14:05 +0900,2020-10-25 12:14:05 +0900,teacher,
31,まだ分からないとこあればどうぞ！,1,11,29,2020-10-25 12:14:24 +0900,2020-10-25 12:14:24 +0900,teacher,
32,分かりました、ありがとうございます！,1,11,29,2020-10-25 21:55:52 +0900,2020-10-25 21:55:52 +0900,student,
37,サーバー止まってて返信遅れました。やはり英語と国語ですね、、英単語テストの方出来が悪いのでよくやっておきましょう。,1,10,33,2020-10-29 14:32:29 +0900,2020-10-29 14:32:29 +0900,teacher,
